Product Name,Description,Price,Seller Name
Organic Bananas,"Organic ripe bananas",$0.59,OrganicMarket
Whole Grain Bread,"Whole grain bread, high fiber",$2.49,OrganicMarket
Free-Range Eggs,"Dozen free-range brown eggs",$5.49,OrganicMarket
Coconut Yogurt,"Creamy coconut yogurt, dairy-free",$3.99,OrganicMarket
Baby Spinach,"Fresh baby spinach leaves",$2.29,OrganicMarket
Grass-Fed Bison,"Lean grass-fed bison meat",$9.99,OrganicMarket
Quinoa Salad,"Organic quinoa salad mix",$4.99,OrganicMarket
Mangoes,"Ripe mangoes, assorted varieties",$1.99,OrganicMarket
Cashew Milk,"Creamy cashew milk, unsweetened",$3.79,OrganicMarket
Organic Kale,"Fresh organic kale bunch",$2.79,OrganicMarket
Brown Rice Pasta,"Gluten-free brown rice pasta",$3.29,OrganicMarket
Broccoli Florets,"Fresh broccoli florets, pre-cut",$2.99,OrganicMarket
Wild-Caught Shrimp,"Wild-caught shrimp, peeled and deveined",$12.99,OrganicMarket
Organic Sweet Onions,"Organic sweet onions, medium-sized",$1.69,OrganicMarket
Herbal Tea Blend,"Organic herbal tea blend, soothing",$4.49,OrganicMarket
